material_number,material_desc_raw,product_family,product_group,product_family_sort,product_group_sort,length_m,rule_notes
000000001830840709,CONN PLUG 220POS VERT .50MM,Unclassified,Other,999.0,999.0,,
000000001830840985,USB INTERFACES,Unclassified,Other,999.0,999.0,,
000000001830841088,AC CBL C13 female/C14 male 1.5M16AWG300V,Unclassified,Other,999.0,999.0,,
000000001830842015,PIN-R45 PLASTIC,Unclassified,Other,999.0,999.0,,
000000001830842040,1.00 mm ZERO INSERTION FORCE FLAT,Unclassified,Other,999.0,999.0,,
000000001830842044,CONN 25x2 2.54MM THR ANGL,Unclassified,Other,999.0,999.0,,
000000001830842046,2.00 mm SHROUDED VARIABLE STACK HEIGHT,Unclassified,Other,999.0,999.0,,
000000001830842072,M.2 CONNECTOR,Unclassified,Other,999.0,999.0,,
000000001830842089,CONN 2X15pin 2.00 mm SMD vertical,Unclassified,Other,999.0,999.0,,
000000001830842114,IND 1uH SMD 3.1×2.8×1.2mm,Unclassified,Other,999.0,999.0,,
000000001830842139,USB CONNECTOR VERTICAL,Unclassified,Other,999.0,999.0,,
000000001830842141,GROUND CABLE 1M 10AWG RV5.5-5,Unclassified,Other,999.0,999.0,,
000000001830842172,CONN JACK 4PORT 1000BASE-T GRN YEL,Unclassified,Other,999.0,999.0,,
000000001830842296,CONN RCPT 70POS 0.050 GOLD SMD,Unclassified,Other,999.0,999.0,,
000000001830842329,CONN FPC 39X1 0.30MM R/A,Unclassified,Other_Connector_Types,999.0,40.0,,
000000001830842330,CONN 15X2 0.5MM 1.5MM HEIGHT,Unclassified,Other,999.0,999.0,,
000000001830842469,N0003588-00 CONN SOCKET 30POS SMD GOLD,Unclassified,Other,999.0,999.0,,
000000001830842473,N9001215-00 GUIDE PIN 100MIL L0.99m<ZY>,Unclassified,Other,999.0,999.0,,
000000001830842474,N9001216-00 GUIDE PIN 150MIL L0.99m<ZY>,Unclassified,Other,999.0,999.0,,
000000001830842497,Xcede HD DAUGHTERCARD ASSEMBLY 4 PAIR,Unclassified,Other,999.0,999.0,,
000000001830842509,CONN HEADER SMD R/A 5POS 1MM,Unclassified,Other,999.0,999.0,,
000000001830842511,2.4INCH MICRO SNGL ROW CABLE SOCKET 1MM,Unclassified,Other,999.0,999.0,,
000000001830842512,CON 2.0MM 25X2 Through Hole,Unclassified,Other,999.0,999.0,,
000000001830842515,CONN 2MM 2X10 FLEX STACK TH,Unclassified,Other,999.0,999.0,,
000000001830842520,CONN RCPT 24POS 0.039 GOLD SMD,Unclassified,Other,999.0,999.0,,
000000001830842533,CONN SOCKET 40POS SMD GOLD,Unclassified,Other,999.0,999.0,,
000000001830842567,USB A TO USB A cable 0.5M,Unclassified,Other,999.0,999.0,,
000000001830842574,CONN HEADER SMD 7POS 1MM,Unclassified,Other,999.0,999.0,,
000000001830842577,2.6INCH SINGLE ROW CABLE SOCKET 1MM,Unclassified,Other,999.0,999.0,,
000000001830842578,1.8INCH SINGLE ROW CABLE SOCKET 1MM,Unclassified,Other,999.0,999.0,,
000000001830842581,CONN PLUG 80POS SMD GOLD,Unclassified,Other,999.0,999.0,,
000000001830842582,Xcede HD DAUGHTERCARD ASSEMBLY 4 PAIR,Unclassified,Other,999.0,999.0,,
000000001830842584,CONN RCPT 120POS SMD GOLD,Unclassified,Other,999.0,999.0,,
000000001830842585,CONN PLUG 120POS SMD GOLD,Unclassified,Other,999.0,999.0,,
000000001830842604,CONN RCPT 12POS 2MM SMD,Unclassified,Other,999.0,999.0,,
000000001830842605,CONN FFC 36POS 0.50MM SMD,Unclassified,Other,999.0,999.0,,
000000001830842640,CONN SMT 5x2 2mm,Unclassified,Other,999.0,999.0,,
000000001830842643,CONN HEADER BLADE PWR 4P EDGE,Unclassified,Other,999.0,999.0,,
000000001830842644,CONN DIMM DDR4 SODIMM 260P,Unclassified,Other,999.0,999.0,,
000000001830842645,CONN T1M 1MM TERMINAL,Unclassified,Other,999.0,999.0,,
000000001830842646,CONN 2MM TERMINAL STRIP,Unclassified,Other,999.0,999.0,,
000000001830842647,CONN MOD JACK 8P8C SHIELDED,Unclassified,Other,999.0,999.0,,
000000001830842648,CONN SMD 3POS 2.54MM,Unclassified,Other,999.0,999.0,,
000000001830842650,CONN AIRMAX VS2 RAR 3X10-SML RG,Unclassified,Other,999.0,999.0,,
000000001830842651,Cable  4inch with connector 1.00mm Pitch,Unclassified,Other,999.0,999.0,,
000000001830842652,CABLE MTERA STPM SNAP ACTION OK TO PULL,Unclassified,Other,999.0,999.0,,
000000001830842675,CONN M.2 DUAL FMALE 67P 0.020 Gold 15u,Unclassified,Other,999.0,999.0,,
000000001830842680,Conn VERT Header 2P/40S Press Fit TH,Unclassified,Other,999.0,999.0,,
000000001830842686,3.34INCH SINGLE ROW CABLE SOCKET 1MM,Unclassified,Other,999.0,999.0,,
000000001830842693,8.67INCH MICRO SNGL ROW CABLE SOCKET 1MM,Unclassified,Other,999.0,999.0,,
000000001830842697,Conn SFP-DD SMD,Unclassified,Transceiver_Rating,999.0,50.0,,
000000001830842707,CON BACKPLANE ASSEMBLY CONNECTOR,Unclassified,Other,999.0,999.0,,
000000001830842712,CONN Socket 13x2POS dual 1.27mm SMD,Unclassified,Other,999.0,999.0,,
000000001830842713,CONN Header 13x2POS Dual 1.27mm SMD,Unclassified,Other,999.0,999.0,,
000000001830842715,CONN HDR 24POS 0.039 STACK SMD,Unclassified,Other,999.0,999.0,,
000000001830842722,GUIDE PIN Brass Alloy<ZY>,Unclassified,Other,999.0,999.0,,
000000001830842742,CONN RCPT 120POS SMD GOLD,Unclassified,Other,999.0,999.0,,
000000001830842757,Socket 4×30 2.00 ESQT-130-02-L-Q-625,Unclassified,Other,999.0,999.0,,
000000001830842758,Socket 4×30 2.00 ESQT-130-02-L-Q-693,Unclassified,Other,999.0,999.0,,
000000001830842759,Header 4×30 2.00 MTMM-130-06-L-Q-178,Unclassified,Other,999.0,999.0,,
000000001830842760,Socket 2×10 CLT-110-02-L-D-BE-A-K-TR,Unclassified,Other,999.0,999.0,,
000000001830842762,CONN TH 2X10 2MM,Unclassified,Other,999.0,999.0,,
000000001830845687,CONN 15X1 1.0MM  WIRE TERMINAL STRIP SH,Unclassified,Other,999.0,999.0,,
000000001830845692,CONN SOCKET 8X2 2MM SMD,Unclassified,Other,999.0,999.0,,
000000001830845693,CONN HEADER 10X2 2MM SMD,Unclassified,Other,999.0,999.0,,
000000001830845695,CONN HEADER 8X2 2MM TH,Unclassified,Other,999.0,999.0,,
000000001830845704,Header 2×10 TW-10-09-L-D-205-SM-A-P-TR,Unclassified,Other,999.0,999.0,,
000000001830845772,CONN13X2 2.0MM HEADER SMD,Unclassified,Other,999.0,999.0,,
000000001830845774,CONN Socket 4×30 2.0 ESQT-130-02-L-Q-705,Unclassified,Other,999.0,999.0,,
000000001830850114,NA400027-00 LCoS 1920x1200 C Gen2 New LC,Unclassified,LC_Variants,999.0,32.0,,
000000001830850130,HSM card STM32HSM-V2AE,Unclassified,Other,999.0,999.0,,
000000001830850131,Crystal 24MHz 12pF 20ppm 3.2x2.5mm,Unclassified,Other,999.0,999.0,,
000000001830900206,SLDR WIRE-LF M705 RMA98 SUPER P3 0.6mm,Unclassified,Other,999.0,999.0,,
000000001830900359,NPK00022-00 Desiccant-Silica Packet 5g,Unclassified,Other,999.0,999.0,,
000000001830910388,MARK-BAND WHITE NO.5 FOR 900um CBL,Unclassified,Other,999.0,999.0,,
000000001830910421,MARK-BAND BLACK BLANK FOR 900um CBL,Unclassified,Other,999.0,999.0,,
000000001830910422,MARK-BAND RED BLANK FOR 900um CBL,Unclassified,Other,999.0,999.0,,
000000001830911198,LBL-BLANK 32X9.3MM POLYESTER WHITE UL,Unclassified,Other,999.0,999.0,,
000000001830911731,LBL-BLANK 25X5 PAPER(487-N0411-0001),Unclassified,Other,999.0,999.0,,
000000001830911886,LBL-BLANK 19.1X7.6MM WHITE POLYIMIDE<ZY>,Unclassified,Other,999.0,999.0,,
000000001830912029,LBL-BLANK 100.0X60.0 R 1.0;PET,Unclassified,Other,999.0,999.0,,
000000001830912285,LBL-BLANK 101.6X152.4 PAPER WHITE #15365,Unclassified,Other,999.0,999.0,,
000000001830912344,LBL-BLANK 25.4X4.762,Unclassified,Other,999.0,999.0,,
